1;1;1500.00
2;2;2000.00
3;3;3000.00
4;4;2500.00
5;5;4000.00
6;6;1800.50
7;7;3200.00
8;8;1550.00
9;9;2700.25
10;10;4100.00
11;11;1900.00
12;12;2350.50
13;13;3000.00
14;14;1250.00
15;15;4500.00
16;16;2800.75
17;17;1600.00
18;18;3150.00
19;19;2200.50
20;20;1750.00
21;21;3900.00
22;22;2100.00
23;23;4300.25
24;24;1450.00
25;25;3600.50
26;VL;10000.00
27;VL;5000.00
28;VL;5000.00
29;VL;7200.00
30;VL;8900.00
31;VL;3400.00
32;VL;6100.00
33;VL;2750.00
34;VL;9400.00
35;VL;4100.00
36;VL;5600.00
37;VL;3200.00
38;VL;8700.00
39;VL;6900.00
40;VL;11500.00

