1;2023-10-01;1;1350.00
2;2023-10-02;2;1700.00
3;2023-10-03;3;2400.00
4;2023-10-04;4;2375.00
5;2023-10-05;5;3600.00
6;2023-10-06;1;1620.45
7;2023-10-07;3;2560.00
8;2023-10-08;2;1317.50
9;2023-10-09;5;2430.23
10;2023-10-10;4;3895.00
11;2023-10-11;2;1615.00
12;2023-10-12;3;1880.40
13;2023-10-13;1;2700.00
14;2023-10-14;5;1125.00
15;2023-10-15;4;4275.00
16;2023-10-16;2;2380.64
17;2023-10-17;1;1440.00
18;2023-10-18;3;2520.00
19;2023-10-19;5;1980.45
20;2023-10-20;4;1662.50
21;2023-10-21;2;3315.00
22;2023-10-22;1;1890.00
23;2023-10-23;3;3440.20
24;2023-10-24;5;1305.00
25;2023-10-25;4;3420.48
26;2025-12-01;1;8100.00
27;2025-02-01;2;3612.50
28;2023-02-01;1;4050.00
29;2023-10-26;4;2802.50
30;2023-10-27;5;1620.00
31;2023-10-28;6;4160.40
32;2023-10-29;7;2080.00
33;2023-10-30;8;2890.64
34;2023-10-31;9;3485.00
35;2023-11-01;10;1912.50
36;2023-11-02;11;2960.40
37;2023-11-03;12;1657.50
38;2023-11-04;13;4140.23
39;2023-11-05;14;2280.00
40;2023-11-06;15;2970.00
41;2023-11-07;16;1680.40
42;2023-11-08;17;3705.00
43;2023-11-09;18;3600.60
44;2023-11-10;1;1575.00
45;2023-11-11;2;4420.00
46;2023-11-12;3;1920.00
47;2023-11-13;4;3420.00
48;2023-11-14;5;2655.45
49;2023-11-15;6;3280.00
50;2023-11-16;7;2200.40
